ISIN,Bond Code,Issuer,Bond Type,Issue Date,Latest Rating
CND10006VC36,239946,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/8/4,
CND10006V9L3,239945,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/8/4,
CND10006V0Z2,239944,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/7/28,
CND10006S9G8,230016,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/7/24,
CND10006SSF9,239943,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/7/21,
CND10006RXQ8,239942,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/7/14,
CND10006PJH0,230015,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/7/14,
CND10006PJG2,239941,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/7/14,
CND10006NHK3,239940,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/7/7,
CND10006NHL1,239939,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/7/5,
CND10006NHM9,239938,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/7/5,
CND10006KWD3,230014,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/6/21,
CND10006M698,239937,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/6/16,
CND10006JM06,230013,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/6/14,
CND10006K5N0,239936,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/6/9,
CND10006JD64,239935,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/6/9,
CND10006JLY4,239934,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/6/7,
CND10006JLZ1,239933,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/6/7,
CND10006JDS3,239932,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/6/2,
CND10006HB01,239931,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/5/26,
CND10006GPT1,230012,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/5/24,
CND10006GQF8,239930,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/5/19,
CND10006G542,239929,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/5/12,
CND10006FNG5,230011,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/5/12,
CND10006FQJ2,239928,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/5/10,
CND10006FQK0,239927,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/5/10,
CND10006DR07,239926,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/5/5,
CND10006C988,239925,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/5/5,
CND10006BDM3,230010,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/4/24,
CND10006BG93,239924,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/4/21,
CND10006BCN3,239923,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/4/21,
CND10006BC89,239922,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/4/14,
CND100069PK9,230009,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/4/14,
CND100069PL7,230008,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/4/14,
CND10006BBV8,239920,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/4/12,
CND10006BBT2,239921,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/4/12,
CND100069P27,239919,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/4/7,
CND1000682G3,239918,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/3/24,
CND100067586,230007,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/3/24,
CND100067578,230006,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/3/24,
CND100067552,239917,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/3/17,
CND1000652C5,230005,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/3/14,
CND1000652Y9,239916,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/3/10,
CND1000652D3,239915,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/3/8,
CND1000652F8,239914,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/3/8,
CND1000651L8,239913,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/3/3,
CND100064S52,239912,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/3/3,
CND100064RF6,239911,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/2/24,
CND100063XD1,230004,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/2/24,
CND100063PG0,239910,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/2/17,
CND1000639M1,230003,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/2/14,
CND1000639H1,239909,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/2/10,
CND1000620Q2,239907,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/2/8,
CND1000620P4,239908,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/2/8,
CND100061ZY6,239906,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/2/3,
CND100060110,239905,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/2/3,
CND10005ZVC7,239904,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/1/13,
CND10005ZT18,230002,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/1/13,
CND10005ZT00,239903,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/1/13,
CND10005ZT26,230001,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/1/13,
CND10005ZTL2,239902,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/1/11,
CND10005ZTM0,239901,Ministry of Finance of the People’s Republic of China,Treasury Bond,2023/1/11,
